bench,freq_mhz,tile,N,run_idx,t_start,t_end,duration_s
cholesky_mustard,615,16,9600,4,1776287396.8735704,1776287397.7958488,0.9222784042358398
cholesky_mustard,540,16,9600,0,1776287419.9437375,1776287421.2077572,1.2640197277069092
cholesky_mustard,540,16,9600,1,1776287421.4174097,1776287422.450366,1.0329563617706299
cholesky_mustard,540,16,9600,2,1776287422.6702635,1776287423.9001806,1.229917049407959
cholesky_mustard,540,16,9600,3,1776287424.15765,1776287425.205204,1.0475540161132812
cholesky_mustard,540,16,9600,4,1776287425.3637502,1776287426.4083865,1.0446362495422363
cholesky_mustard,465,16,9600,0,1776287446.6568089,1776287447.8651996,1.208390712738037
cholesky_mustard,465,16,9600,1,1776287448.0817924,1776287449.2968657,1.2150733470916748
cholesky_mustard,465,16,9600,2,1776287449.5107129,1776287450.777596,1.266883134841919
cholesky_mustard,465,16,9600,3,1776287451.0299733,1776287452.230832,1.2008588314056396
cholesky_mustard,465,16,9600,4,1776287452.3666222,1776287453.5577066,1.191084384918213
cholesky_mustard,390,16,9600,0,1776287474.5676794,1776287475.9993873,1.4317078590393066
cholesky_mustard,390,16,9600,1,1776287476.2316904,1776287477.7263906,1.4947001934051514
cholesky_mustard,390,16,9600,2,1776287477.949795,1776287479.4817772,1.531982183456421
cholesky_mustard,390,16,9600,3,1776287479.6531394,1776287481.063581,1.4104416370391846
cholesky_mustard,390,16,9600,4,1776287481.2135353,1776287482.64764,1.4341046810150146
cholesky_mustard,315,16,9600,0,1776287504.3530605,1776287506.1279583,1.774897813796997
cholesky_mustard,315,16,9600,1,1776287506.3250039,1776287508.0913372,1.7663333415985107
cholesky_mustard,315,16,9600,2,1776287508.2333074,1776287510.0106058,1.7772984504699707
cholesky_mustard,315,16,9600,3,1776287510.1616344,1776287511.8959558,1.7343213558197021
cholesky_mustard,315,16,9600,4,1776287512.0378892,1776287513.7960794,1.7581901550292969
cholesky_mustard,240,16,9600,0,1776287535.5893755,1776287537.9817636,2.392388105392456
cholesky_mustard,240,16,9600,1,1776287538.150097,1776287540.4056268,2.2555298805236816
cholesky_mustard,240,16,9600,2,1776287540.5651157,1776287542.8952916,2.3301758766174316
cholesky_mustard,240,16,9600,3,1776287543.0698855,1776287545.3837478,2.3138623237609863
cholesky_mustard,240,16,9600,4,1776287545.558672,1776287547.864411,2.305739164352417
